DeveloperStatus,Age,EdLevel,Employment,WorkExp,WorkExpLevel,YearsCode,YearOfCodingLevel,DevType,OrgSize,OrgSizeCategory,Industry,AIThreat,Career,Country,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,LanguageCount,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,DatabaseCount,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,PlatformCount,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,WebframeCount,DevEnvsHaveWorkedWith,DevEnvsWantToWorkWith,DevEnvsAdmired,DevEnvsCount,AIModelsHaveWorkedWith,AIModelsWantToWorkWith,AIModelsAdmired,AIModelsCount,AIUsageScale,AIWorkflowSentiment,AIAccuracyTrust,AIComplex,AIToolCurrentlyUseFor,PartialAITaskCount,AIToolDontPlanToUseFor,NoAITaskCount,AIToolPlanToPartiallyUseFor,PlannedPartialAITaskCount,AIToolPlanToMostlyUseFor,PlannedMostlyAITaskCount,AIAgents,AIAgentChange,ConvertedCompYearly,JobSat,,
Professional Developer,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8,Mid,14,Senior,"Developer, mobile",20 to 99 employees,Small,Fintech,I'm not sure,No Career Change,Ukraine,Bash/Shell (all shells);Dart;SQL,Dart,Dart,3,Cloud Firestore;PostgreSQL,Unknown,Unknown,3,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Gradle,Unknown,Unknown,6,Unknown,Unknown,Unknown,1,Android Studio;Notepad++;Visual Studio;Visual Studio Code;Xcode,Unknown,Unknown,6,openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,Unknown,Unknown,4,3,Indifferent,Neither trust nor distrust,Bad at complex tasks,Learning about a codebase;Writing code;Search for answers,3,Project planning;Deployment and monitoring;Learning new concepts or technologies,3,Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Predictive analytics;Generating content or synthetic data;Creating or maintaining documentation,7,Unknown,1,"Yes, Monthly/Infrequent",Not at all or minimally,61256,10,,
Professional Developer,25-34 years old,"Associate degree (A.A., A.S., etc.)",Employed,2,Entry,10,Senior,"Developer, back-end",500 to 999 employees,Large,Retail and Consumer Services,I'm not sure,Career Change – Voluntary,Netherlands,Java,Java;Python;Swift,Java,3,Dynamodb;MongoDB,Dynamodb;MongoDB,Dynamodb;MongoDB,2,Amazon Web Services (AWS);Datadog;Docker;Homebrew;Kubernetes;Maven (build tool);Terraform,Amazon Web Services (AWS);Datadog;Docker;Homebrew;Kubernetes;Maven (build tool);Terraform,Amazon Web Services (AWS);Datadog;Docker;Homebrew;Kubernetes;Maven (build tool);Terraform,7,Spring Boot,Spring Boot,Spring Boot,1,IntelliJ IDEA;PyCharm;Visual Studio Code;Xcode,IntelliJ IDEA;PyCharm;Visual Studio Code;Xcode,IntelliJ IDEA;PyCharm;Visual Studio Code;Xcode,4,openAI GPT (chatbot models),openAI GPT (chatbot models),openAI GPT (chatbot models),1,4,Indifferent,Neither trust nor distrust,Bad at complex tasks,Learning new concepts or technologies,1,Learning about a codebase;Project planning;Committing and reviewing code;Deployment and monitoring,4,Writing code;Documenting code;Debugging or fixing code;Testing code;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation,8,Unknown,1,"No, no Plans",Not at all or minimally,104413,9,,
Professional Developer,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Freelancer,21,Senior,22,Senior,Engineering manager,Unknown,Unknown,Software Development,No,No Interest in Changing,Ukraine,C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),C#;Java;JavaScript;Python;SQL;TypeScript,C#;Java;JavaScript;Python;SQL;TypeScript,14,Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,Elasticsearch;Oracle;PostgreSQL,Elasticsearch;Oracle;PostgreSQL,7,Amazon Web Services (AWS);APT;Docker;Make;Maven (build tool);MSBuild;npm;NuGet;Pip,Amazon Web Services (AWS);APT;Docker;Maven (build tool);MSBuild;npm;NuGet;Pip,Amazon Web Services (AWS);APT;Docker;Maven (build tool);MSBuild;npm;NuGet;Pip,9,Angular;ASP.NET;ASP.NET Core;Flask;jQuery,Angular;ASP.NET Core;Flask,Angular;ASP.NET Core;Flask,5,Eclipse;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Rider;Visual Studio;WebStorm,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Rider;Visual Studio;WebStorm,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Rider;Visual Studio;WebStorm,8,openAI GPT (chatbot models),openAI GPT (chatbot models),openAI GPT (chatbot models),1,4,Favorable,Neither trust nor distrust,"Good, but not great ",Learning about a codebase;Writing code;Debugging or fixing code;Search for answers;Learning new concepts or technologies,5,Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Creating or maintaining documentation,7,Generating content or synthetic data,1,Unknown,1,"No, no Plans","Yes, to a great extent",60000,7,,
Professional Developer,25-34 years old,Some college/university study without earning a degree,Freelancer,9,Mid,13,Senior,"Developer, full-stack",Unknown,Unknown,Insurance,Yes,Mild Interest in Changing,Ukraine,JavaScript;TypeScript,JavaScript;TypeScript,JavaScript;TypeScript,2,Unknown,Unknown,Unknown,1,Amazon Web Services (AWS);Docker;Homebrew;npm;pnpm;Webpack,Unknown,Unknown,7,Next.js;Node.js;React,Next.js;Node.js;React,Next.js;Node.js;React,3,WebStorm,WebStorm,WebStorm,1,Unknown,Unknown,Unknown,1,5,Favorable,Somewhat trust,Neither good nor bad,Learning about a codebase;Writing code;Documenting code;Testing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies,10,Unknown,1,Project planning;Debugging or fixing code;Committing and reviewing code,3,Unknown,1,"Yes, Monthly/Infrequent","Yes, somewhat",6240,6,Median Of WorkExp,11
Professional Developer,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,22,Senior,30,Senior,"Architect, software or solutions",Less than 20 employees,Micro,Software Development,Yes,Strong Interest in Changing,Ukraine,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Assembly;Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,8,MongoDB;PostgreSQL;SQLite,PostgreSQL;Redis;SQLite,PostgreSQL;SQLite,4,Amazon Web Services (AWS);APT;Docker;Google Cloud;Homebrew;npm;Pip,APT;Cargo;Docker;Homebrew;Pip,APT;Docker;Homebrew;Pip,8,Angular;Django,Django,Django,2,PyCharm;Visual Studio Code;WebStorm,Claude Code;PyCharm;Visual Studio Code,PyCharm;Visual Studio Code,4,openAI GPT (chatbot models),Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models;Perplexity Sonar models,openAI GPT (chatbot models),4,5,Very favorable,Somewhat trust,Neither good nor bad,Writing code;Documenting code,2,Unknown,1,Project planning;Debugging or fixing code;Deployment and monitoring;Predictive analytics,4,Learning about a codebase;Testing code;Committing and reviewing code;Generating content or synthetic data;Creating or maintaining documentation,5,"No, Planning Soon","Yes, to a great extent",72000,6,Median of YearsCode,15
Professional Developer,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3,Mid,5,Mid,"Developer, back-end",100 to 499 employees,Medium,Fintech,No,No Career Change,Ukraine,C#,C#,C#,1,Microsoft SQL Server;SQLite,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server,3,Unknown,Unknown,Unknown,1,ASP.NET Core,ASP.NET Core,ASP.NET Core,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,5,Very favorable,Neither trust nor distrust,Bad at complex tasks,Learning about a codebase;Writing code;Debugging or fixing code;Generating content or synthetic data,4,Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Creating or maintaining documentation,7,Unknown,1,Unknown,1,"No, Planning Soon",Not at all or minimally,14400,8,Median of convertedCompYear,75410
Professional Developer,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6,Mid,6,Mid,"Developer, full-stack","1,000 to 4,999 employees",Large,Fintech,No,Strong Interest in Changing,India,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,1,Unknown,1,Unknown,1,Unknown,1,Unknown,Unknown,75410,6,Median of JobSat,8
Professional Developer,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,1,Entry,8,Mid,"Developer, full-stack",100 to 499 employees,Medium,Government,Yes,Low Change Consideration,Greece,HTML/CSS;JavaScript;Python;SQL,Python,Python,4,MariaDB;MongoDB;MySQL;SQLite,MongoDB,MongoDB,4,Unknown,Unknown,Unknown,1,Django;Flask;React,Django;React,Django;React,3,Vim;Visual Studio Code,Vim;Visual Studio Code,Vim;Visual Studio Code,2,openAI GPT (chatbot models),Unknown,Unknown,2,5,Unfavorable,Neither trust nor distrust,"Good, but not great ",Writing code;Documenting code;Debugging or fixing code;Search for answers;Learning new concepts or technologies,5,Project planning;Testing code;Committing and reviewing code;Predictive analytics;Creating or maintaining documentation,5,Unknown,1,Learning about a codebase;Deployment and monitoring,2,"No, no Plans","Yes, somewhat",75410,6,,
Professional Developer,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2,Entry,7,Mid,"Developer, embedded applications or devices",Less than 20 employees,Micro,Software Development,No,Mild Interest in Changing,Netherlands,Bash/Shell (all shells);C;C++;Delphi;JavaScript;PHP;SQL;TypeScript,C;C++;SQL;TypeScript,C;C++;SQL;TypeScript,8,Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite,Elasticsearch;PostgreSQL;Redis;SQLite,Elasticsearch;PostgreSQL;Redis;SQLite,5,Amazon Web Services (AWS);Cloudflare;Docker;Google Cloud;Kubernetes;npm;Pip;Vite,Cloudflare;Docker;npm;Pip;Vite,Cloudflare;Docker;npm;Pip;Vite,8,Angular;Node.js;Svelte,Node.js;Svelte,Node.js;Svelte,3,Visual Studio Code,Visual Studio Code,Visual Studio Code,1,openAI GPT (chatbot models);openAI Reasoning models,Unknown,Unknown,3,1,Very unfavorable,Somewhat distrust,Very poor at complex tasks,Search for answers;Generating content or synthetic data,2,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Creating or maintaining documentation;Learning new concepts or technologies;Other (write in):,12,Unknown,1,Unknown,1,"No, no Plans",Not at all or minimally,75410,8,,
Non-Developer (Support/Occasional),35-44 years old,Some college/university study without earning a degree,Employed,20,Senior,15,Senior,Cybersecurity or InfoSec professional,"1,000 to 4,999 employees",Large,Government,No,No Career Change,Austria,C#;Go;HTML/CSS;PowerShell;Python;SQL,Unknown,Unknown,7,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Redis;SQLite;Valkey,Unknown,Unknown,12,Ansible;Chocolatey;Cloudflare;Digital Ocean;Docker;Kubernetes;Make;Microsoft Azure;MSBuild;Pip;Podman;Prometheus;Terraform,Unknown,Unknown,14,Django;Flask,Unknown,Unknown,3,Cursor;Neovim;Notepad++;PyCharm;Sublime Text;Visual Studio Code,Unknown,Unknown,7,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,Unknown,Unknown,5,3,Indifferent,Neither trust nor distrust,Bad at complex tasks,Testing code;Predictive analytics,2,Learning about a codebase;Project planning;Documenting code;Deployment and monitoring;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies,7,Writing code;Debugging or fixing code;Committing and reviewing code,3,Search for answers,1,"Yes, Monthly/Infrequent",Not at all or minimally,75410,8,,
